POSICAO,MUNICIPIO,IFDM
Desenvolvimento moderado,Ariquemes,0.7746
Desenvolvimento moderado,Vilhena,0.7465
Desenvolvimento moderado,Pimenta Bueno,0.7383
Desenvolvimento moderado,Porto Velho,0.7257
Desenvolvimento moderado,Ji-Paraná,0.7117
Desenvolvimento moderado,Cacoal,0.7111
Desenvolvimento moderado,Santa Luzia d'Oeste,0.6850
Desenvolvimento moderado,Rolim de Moura,0.6785
Desenvolvimento moderado,Chupinguaia,0.6766
Desenvolvimento moderado,São Miguel do Guaporé,0.6699
Desenvolvimento moderado,Pimenteiras do Oeste,0.6501
Desenvolvimento moderado,Teixeirópolis,0.6500
Desenvolvimento moderado,Colorado do Oeste,0.6473
Desenvolvimento moderado,Jaru,0.6450
Desenvolvimento moderado,Rio Crespo,0.6430
Desenvolvimento moderado,Primavera de Rondônia,0.6384
Desenvolvimento moderado,Alta Floresta d'Oeste,0.6337
Desenvolvimento moderado,Ouro Preto do Oeste,0.6261
Desenvolvimento moderado,São Francisco do Guaporé,0.6214
Desenvolvimento moderado,Candeias do Jamari,0.6199
Desenvolvimento moderado,Buritis,0.6199
Desenvolvimento moderado,São Felipe d'Oeste,0.6153
Desenvolvimento moderado,Presidente Médici,0.6140
Desenvolvimento moderado,Cerejeiras,0.6137
Desenvolvimento moderado,Monte Negro,0.6016
Desenvolvimento moderado,Urupá,0.6006
Desenvolvimento regular,Espigão d'Oeste,0.5973
Desenvolvimento regular,Seringueiras,0.5922
Desenvolvimento regular,Alvorada d'Oeste,0.5919
Desenvolvimento regular,Itapuã do Oeste,0.5903
Desenvolvimento regular,Cabixi,0.5887
Desenvolvimento regular,Novo Horizonte do Oeste,0.5858
Desenvolvimento regular,Nova Brasilândia d'Oeste,0.5857
Desenvolvimento regular,Vale do Paraíso,0.5818
Desenvolvimento regular,Corumbiara,0.5759
Desenvolvimento regular,Alto Paraíso,0.5735
Desenvolvimento regular,Cacaulândia,0.5721
Desenvolvimento regular,Vale do Anari,0.5710
Desenvolvimento regular,Ministro Andreazza,0.5657
Desenvolvimento regular,Costa Marques,0.5626
Desenvolvimento regular,Nova União,0.5571
Desenvolvimento regular,Guajará-Mirim,0.5541
Desenvolvimento regular,Mirante da Serra,0.5519
Desenvolvimento regular,Parecis,0.5502
Desenvolvimento regular,Castanheiras,0.5430
Desenvolvimento regular,Theobroma,0.5405
Desenvolvimento regular,Machadinho d'Oeste,0.5322
Desenvolvimento regular,Campo Novo de Rondônia,0.5272
Desenvolvimento regular,Nova Mamoré,0.5084
Desenvolvimento regular,Cujubim,0.5055
Desenvolvimento regular,Alto Alegre dos Parecis,0.5046
Desenvolvimento regular,Governador Jorge Teixeira,0.4562
