MUNICIPIO,PIB
Porto Velho,17 912 070
Ji-Paraná,3 783 972
Vilhena,2 831 175
Ariquemes,2 579 830
Cacoal,2 261 644
Jaru,1 500 890
Rolim de Moura,1 283 434
Pimenta Bueno,1 164 877
Guajará-Mirim,893 000
Ouro Preto do Oeste,834 000
Buritis,726 000
Machadinho do Oeste,633 000
Espigão d'Oeste,625 000
São Miguel do Guaporé,616 000
Candeias do Jamari,548 000
Nova Mamoré,529 000
Cerejeiras,507 000
Alta Floresta do Oeste,496 000
Presidente Médici,428 000
Cujubim,385 000
Nova Brasilândia do Oeste,360 000
Alto Paraíso,358 000
São Francisco do Guaporé,353 000
Colorado do Oeste,335 000
Alto Alegre dos Parecis,213 410
Campo Novo de Rondônia,208 821
Alvorada do Oeste,204 098
Chupinguaia,190 331
Corumbiara,188 218
Ministro Andreazza,174 633
Urupá,172 143
Costa Marques,171 878
Seringueiras,169 429
Mirante da Serra,163 955
Governador Jorge Teixeira,148 027
Theobroma,140 601
Santa Luzia do Oeste,135 934
Novo Horizonte do Oeste,129 399
Itapuã do Oeste,129 351
Vale do Paraíso,116 742
Cacaulândia,116 635
Cabixi,113 031
Vale do Anari,105 208
Parecis,80 759
Rio Crespo,76 854
Pimenteiras do Oeste,76 756
Teixeirópolis,72 089
São Felipe do Oeste,72 084
Castanheiras,59 779
Primavera de Rondônia,52 908
