IDH-M,MUNICIPIO,IDH_MUNICIPAL,IDH_RENDA,IDH_LONGEVIDADE,IDH_EDUCACAO
IDH-M alto,Porto Velho,736,764,819,638
IDH-M alto,Vilhena,731,734,808,659
IDH-M alto,Cacoal,718,727,821,620
IDH-M alto,Ji-Paraná,714,728,810,617
IDH-M alto,Pimenta Bueno,710,726,803,613
IDH-M alto,Ariquemes,702,716,806,600
IDH-M alto,Rolim de Moura,700,709,808,598
IDH-M médio,Cerejeiras,692,688,799,602
IDH-M médio,Jaru,689,687,825,577
IDH-M médio,Colorado do Oeste,685,676,814,584
IDH-M médio,Ouro Preto do Oeste,682,687,812,569
IDH-M médio,Espigão d'Oeste,672,691,819,536
IDH-M médio,Santa Luzia d'Oeste,670,657,812,564
IDH-M médio,Pimenteiras do Oeste,665,662,816,545
IDH-M médio,Presidente Médici,664,671,792,550
IDH-M médio,Castanheiras,658,650,803,547
IDH-M médio,Guajará-Mirim,657,663,823,519
IDH-M médio,Chupinguaia,652,659,820,514
IDH-M médio,Cabixi,650,650,757,559
IDH-M médio,Candeias do Jamari,649,652,819,512
IDH-M médio,São Felipe d'Oeste,649,615,780,571
IDH-M médio,Cacaulândia,646,664,801,506
IDH-M médio,São Miguel do Guaporé,646,644,781,537
IDH-M médio,Mirante da Serra,643,673,800,494
IDH-M médio,Alvorada d'Oeste,643,654,763,534
IDH-M médio,Teixeirópolis,643,653,818,498
IDH-M médio,Nova Brasilândia d'Oeste,643,664,763,524
IDH-M médio,Rio Crespo,643,637,813,513
IDH-M médio,Primavera de Rondônia,641,645,799,512
IDH-M médio,Alta Floresta d'Oeste,641,657,763,526
IDH-M médio,Ministro Andreazza,638,647,776,518
IDH-M médio,Novo Horizonte do Oeste,634,606,799,527
IDH-M médio,Vale do Paraíso,627,641,792,485
IDH-M médio,Alto Paraíso,625,664,804,457
IDH-M médio,Parecis,617,604,800,485
IDH-M médio,Buritis,616,650,751,479
IDH-M médio,Itapuã do Oeste,614,633,751,488
IDH-M médio,Corumbiara,613,630,774,473
IDH-M médio,Cujubim,612,663,789,439
IDH-M médio,Costa Marques,611,616,751,493
IDH-M médio,São Francisco do Guaporé,611,657,751,462
IDH-M médio,Urupá,609,621,772,471
IDH-M médio,Monte Negro,607,645,762,454
IDH-M baixo,Seringueiras,598,644,779,427
IDH-M baixo,Governador Jorge Teixeira,596,627,762,444
IDH-M baixo,Machadinho d'Oeste,596,629,755,446
IDH-M baixo,Campo Novo de Rondônia,593,667,772,404
IDH-M baixo,Alto Alegre dos Parecis,592,603,777,443
IDH-M baixo,Theobroma,589,622,757,434
IDH-M baixo,Nova União,587,608,753,442
IDH-M baixo,Nova Mamoré,587,619,769,424
IDH-M baixo,Vale do Anari,584,626,756,421
