Regiao,Municipio
Porto Velho ,Candeias do Jamari 
Porto Velho ,Guajará-Mirim 
Porto Velho ,Itapuã do Oeste 
Porto Velho ,Nova Mamoré 
Porto Velho ,Porto Velho 
Ariquemes ,Alto Paraíso 
Ariquemes ,Ariquemes 
Ariquemes ,Buritis 
Ariquemes ,Cacaulândia 
Ariquemes ,Campo Novo de Rondônia 
Ariquemes ,Cujubim 
Ariquemes ,Monte Negro 
Ariquemes ,Rio Crespo 
Jaru ,Governador Jorge Teixeira 
Jaru ,Jaru 
Jaru ,Machadinho D'Oeste 
Jaru ,Theobroma 
Jaru ,Vale do Anari 
Ji-Paraná ,Alvorada D'Oeste 
Ji-Paraná ,Costa Marques 
Ji-Paraná ,Ji-Paraná 
Ji-Paraná ,Mirante da Serra 
Ji-Paraná ,Nova União 
Ji-Paraná ,Ouro Preto do Oeste 
Ji-Paraná ,Presidente Médici 
Ji-Paraná ,São Francisco do Guaporé 
Ji-Paraná ,São Miguel do Guaporé 
Ji-Paraná ,Seringueiras 
Ji-Paraná ,Teixeirópolis 
Ji-Paraná ,Urupá 
Ji-Paraná ,Vale do Paraíso 
Cacoal ,Alta Floresta D'Oeste 
Cacoal ,Alto Alegre dos Parecis 
Cacoal ,Cacoal 
Cacoal ,Castanheiras 
Cacoal ,Espigão D'Oeste 
Cacoal ,Ministro Andreazza 
Cacoal ,Nova Brasilândia D'Oeste 
Cacoal ,Novo Horizonte do Oeste 
Cacoal ,Parecis 
Cacoal ,Pimenta Bueno 
Cacoal ,Primavera de Rondônia 
Cacoal ,Rolim de Moura 
Cacoal ,Santa Luzia D'Oeste 
Cacoal ,São Felipe D'Oeste 
Vilhena ,Cabixi 
Vilhena ,Cerejeiras 
Vilhena ,Chupinguaia 
Vilhena ,Colorado do Oeste 
Vilhena ,Corumbiara 
Vilhena ,Pimenteiras do Oeste 
Vilhena ,Vilhena 
